YEAR,STATE,TOTAL_HOME_UNITS
2008,NM,42
2008,NV,91
2008,NY,1743
2008,OH,1067
2008,OK,48
2008,OR,157
2008,PA,1065
2008,RI,156
2008,SC,261
2008,SD,56
2008,TN,176
2008,TX,527
2008,UT,303
2008,VA,587
2008,VT,29
2008,WA,575
2008,WI,241
2008,WV,64
2008,WY,18
2009,AK,24
2009,AL,514
2009,AR,170
2009,AZ,219
2009,CA,3079
2009,CO,254
2009,CT,604
2009,DC,16
2009,DE,39
2009,FL,1154
2009,GA,575
2009,HI,68
2009,IA,363
2009,ID,46
2009,IL,477
2009,IN,217
2009,KS,61
2009,KY,109
2009,LA,158
2009,MA,737
2009,MD,235
2009,ME,6
2009,MI,441
2009,MN,489
2009,MO,151
2009,MS,50
2009,MT,11
2009,NC,655
2009,ND,29
2009,NE,83
2009,NH,139
2009,NJ,270
2009,NM,77
2009,NV,63
2009,NY,2061
2009,OH,1025
2009,OK,51
2009,OR,277
2009,PA,615
2009,PR,19
2009,RI,48
2009,SC,287
2009,SD,62
2009,TN,137
2009,TX,1063
2009,UT,131
2009,VA,418
2009,VT,54
2009,WA,145
2009,WI,170
2009,WV,13
2009,WY,22
2010,AK,13
2010,AL,421
2010,AR,53
2010,AZ,256
2010,CA,3176
2010,CO,231
2010,CT,397
2010,FL,710
2010,GA,615
2010,HI,46
2010,IA,771
2010,ID,102
2010,IL,1546
2010,IN,163
2010,KS,19
2010,KY,181
2010,LA,297
2010,MA,428
2010,MD,748
2010,ME,57
2010,MI,333
2010,MN,387
2010,MO,170
2010,MS,16
2010,MT,73
2010,NC,488
2010,ND,20
2010,NE,16
2010,NH,28
2010,NJ,309
2010,NM,30
2010,NV,109
2010,NY,1895
2010,OH,1012
2010,OK,39
2010,OR,162
2010,PA,1492
2010,PR,5
2010,RI,75
2010,SC,157
2010,SD,112
2010,TN,317
2010,TX,2279
2010,UT,80
2010,VA,460
2010,VT,71
2010,WA,230
2010,WI,240
2010,WV,29
2010,WY,43
2011,AK,239
2011,AL,786
2011,AR,1578
2011,AZ,852
2011,CA,2524
2011,CO,374
2011,CT,235
2011,DC,76
2011,DE,52
2011,FL,1103
2011,GA,474
2011,HI,512
2011,IA,455
2011,ID,259
2011,IL,1962
2011,IN,1056
2011,KS,163
2011,KY,769
2011,LA,595
2011,MA,1269
2011,MD,251
2011,ME,3
2011,MI,775
2011,MN,502
2011,MO,1046
2011,MS,16
2011,MT,49
2011,NC,442
2011,ND,46
2011,NE,28
2011,NH,183
2011,NJ,1141
2011,NM,79
2011,NV,143
2011,NY,3466
2011,OH,1389
2011,OK,329
2011,OR,189
2011,PA,1620
2011,PR,39
2011,RI,130
2011,SC,602
2011,SD,122
2011,TN,179
2011,TX,5911
2011,UT,436
2011,VA,620
2011,VT,65
2011,WA,296
2011,WI,1214
2011,WV,68
2011,WY,54
2012,AK,32
2012,AL,571
2012,AR,109
2012,AZ,500
2012,CA,3960
2012,CO,625
2012,CT,273
2012,DC,218
2012,DE,27
2012,FL,2937
2012,GA,1442
2012,IA,184
2012,ID,30
2012,IL,1636
2012,IN,413
2012,KS,44
2012,KY,161
2012,LA,1326
2012,MA,1349
2012,MD,1647
2012,ME,103
2012,MI,625
2012,MN,1235
2012,MO,720
2012,MS,1
2012,MT,51
2012,NC,1629
2012,ND,95
2012,NE,394
2012,NH,102
2012,NJ,1034
2012,NM,639
2012,NV,342
2012,NY,4535
2012,OH,887
2012,OK,435
2012,OR,679
2012,PA,1417
2012,PR,172
2012,RI,90
2012,SC,267
2012,SD,124
2012,TN,3060
2012,TX,1877
2012,UT,99
2012,VA,1127
2012,VT,143
2012,WA,738
2012,WI,604
2012,WV,708
2012,WY,41
2013,AK,16
2013,AL,443
2013,AR,31
2013,AZ,188
2013,CA,4650
2013,CO,776
2013,CT,83
2013,DC,187
2013,FL,711
2013,GA,280
2013,HI,16
2013,IA,174
2013,ID,121
2013,IL,811
2013,IN,372
2013,KS,2
2013,KY,77
2013,LA,1786
2013,MA,711
2013,MD,504
2013,ME,119
2013,MI,3216
2013,MN,256
2013,MO,105
2013,MS,892
2013,MT,122
2013,NC,260
2013,ND,17
2013,NE,24
2013,NH,157
2013,NJ,315
2013,NM,77
2013,NV,80
2013,NY,2429
2013,OH,1208
2013,OK,256
2013,OR,177
2013,PA,758
2013,PR,165
2013,RI,389
2013,SC,241
2013,SD,206
2013,TN,164
2013,TX,760
2013,UT,302
2013,VA,1205
2013,VT,110
2013,WA,330
2013,WI,240
2013,WV,46
2013,WY,10
2014,AK,3
2014,AL,360
2014,AR,72
2014,AZ,217
2014,CA,3453
2014,CO,169
2014,CT,742
2014,DE,61
2014,FL,1363
2014,GA,393
2014,HI,10
2014,IA,116
2014,ID,35
2014,IL,132
2014,IN,398
2014,KS,29
2014,KY,48
2014,LA,234
2014,MA,565
2014,MD,458
2014,ME,23
2014,MI,818
2014,MN,177
2014,MO,167
2014,MS,30
2014,MT,22
2014,NC,410
2014,ND,28
2014,NE,28
2014,NH,69
2014,NJ,364
2014,NM,25
2014,NV,91
2014,NY,1387
2014,OH,510
2014,OK,180
2014,OR,338
2014,PA,688
2014,PR,110
2014,RI,56
2014,SC,254
2014,SD,46
2014,TN,198
2014,TX,775
2014,UT,54
2014,VA,240
2014,VT,39
2014,WA,121
2014,WI,112
2014,WV,32
2014,WY,42
2015,AK,18
2015,AL,250
2015,AR,174
2015,AZ,137
2015,CA,1475
2015,CO,121
2015,CT,104
2015,DC,332
2015,DE,15
2015,FL,475
2015,GA,416
2015,HI,26
2015,IA,251
2015,ID,25
2015,IL,686
2015,IN,205
2015,KS,61
2015,KY,51
2015,LA,368
2015,MA,516
2015,MD,329
2015,ME,16
2015,MI,846
2015,MN,125
2015,MO,184
2015,MS,14
2015,MT,26
2015,NC,255
2015,ND,22
2015,NE,24
2015,NH,40
2015,NJ,258
2015,NM,4
2015,NV,119
2015,NY,1165
2015,OH,1647
2015,OK,29
2015,OR,115
2015,PA,777
2015,RI,32
2015,SC,106
2015,SD,110
2015,TN,142
2015,TX,678
2015,UT,89
2015,VA,265
2015,VT,67
2015,WA,101
2015,WI,124
2015,WV,52
2015,WY,21
2016,AK,2
2016,AL,404
2016,AR,63
2016,AZ,56
2016,CA,1402
2016,CO,53
2016,CT,54
2016,DC,154
2016,DE,64
2016,FL,877
2016,GA,1049
2016,HI,213
2016,IA,66
2016,ID,55
2016,IL,751
2016,IN,113
2016,KS,13
2016,KY,36
2016,LA,259
2016,MA,550
2016,MD,213
2016,ME,63
2016,MI,376
2016,MN,183
2016,MO,251
2016,MS,44
2016,MT,93
2016,NC,404
2016,ND,64
2016,NE,17
2016,NH,44
2016,NJ,233
2016,NM,18
2016,NV,141
2016,NY,2002
2016,OH,533
2016,OK,86
2016,OR,95
2016,PA,503
2016,PR,64
2016,RI,89
2016,SC,195
2016,SD,58
2016,TN,44
2016,TX,551
2016,UT,100
2016,VA,345
2016,VT,36
2016,WA,118
2016,WI,311
2016,WV,93
2017,AK,26
2017,AL,247
2017,AR,64
2017,AZ,192
2017,CA,1552
2017,CO,95
2017,CT,221
2017,DC,110
2017,DE,133
2017,FL,508
2017,GA,707
2017,HI,13
2017,IA,44
2017,ID,29
2017,IL,385
2017,IN,252
2017,KS,37
2017,KY,86
2017,LA,172
2017,MA,442
2017,MD,358
2017,ME,49
2017,MI,433
2017,MN,386
2017,MO,264
2017,MS,16
2017,MT,56
2017,NC,277
2017,ND,20
2017,NE,24
2017,NH,29
2017,NJ,312
2017,NM,41
2017,NV,86
2017,NY,1674
2017,OH,302
2017,OK,249
2017,OR,114
2017,PA,660
2017,RI,55
2017,SC,217
