COMPLETED_DT,LAT,LON,TOTAL_HOME_UNITS
2001-01-01,41.778365,-72.683542,6.0
2001-01-01,41.778184,-72.683146,5.0
2001-01-01,41.77993,-72.682548,6.0
2001-01-01,41.782954,-72.69138,3.0
2001-01-01,41.534399,-72.785672,2.0
2001-01-01,41.560343,-73.025319,3.0
2001-01-01,41.911619,-71.906554,2.0
2001-01-01,41.794814,-72.697841,3.0
2003-03-10,41.75583,-72.671908,1.0
2001-01-01,41.755946,-72.666237,64.0
2005-06-22,41.797083,-72.674812,11.0
2001-01-01,41.043502,-73.544421,12.0
2001-01-01,41.687005,-73.004075,6.0
2001-01-01,41.761111,-72.671675,72.0
2005-02-01,41.682128,-72.947448,8.0
2002-09-24,41.754719,-72.674584,11.0
2009-05-19,41.756105,-72.675847,10.0
2005-03-24,41.767917,-72.962687,24.0
2003-06-20,41.174029,-73.197038,10.0
2008-09-04,41.783285,-72.675709,1.0
2005-08-31,41.294118,-72.940003,16.0
2010-09-30,26.027221,-80.140391,7.0
2012-06-06,26.129057,-80.163049,1.0
2011-09-30,25.983023,-80.236123,4.0
2010-09-30,26.281424,-80.115522,5.0
2000-06-26,29.209709,-81.058874,1.0
2000-06-26,29.221828,-81.027205,1.0
2000-06-26,29.213549,-81.048793,1.0
2002-11-06,29.213743,-81.036769,2.0
2005-09-30,29.224234,-81.062901,1.0
2005-12-14,29.206144,-81.028167,1.0
2005-09-30,29.208155,-81.064331,1.0
2005-10-03,29.205584,-81.02856,1.0
2019-02-20,29.211235,-81.063812,1.0
2005-10-26,29.211862,-81.063281,1.0
2005-11-15,29.205683,-81.028318,1.0
2008-09-23,29.224169,-81.047444,1.0
2011-05-02,29.208104,-81.035662,1.0
2011-05-02,29.202534,-81.024648,2.0
2017-12-27,29.223511,-81.026837,1.0
2014-12-10,29.206431,-81.03812,13.0
2015-07-01,29.221512,-81.034832,3.0
2005-08-23,25.779881,-80.133779,18.0
2002-12-11,25.86468,-80.127307,16.0
2005-09-08,25.788297,-80.134039,20.0
2002-09-24,25.856466,-80.128156,9.0
2003-09-30,25.853684,-80.141758,10.0
2006-05-23,25.7749,-80.138496,18.0
2005-09-12,25.774876,-80.138495,9.0
1997-01-24,29.66781,-82.331041,1.0
1997-07-24,29.666439,-82.323143,1.0
2017-06-15,29.635473,-82.318203,1.0
2017-06-15,29.649004,-82.304137,1.0
2017-06-15,29.648904,-82.328176,6.0
2017-04-03,29.655848,-82.335122,1.0
1995-10-16,29.648391,-82.317356,1.0
1999-07-20,29.654857,-82.328092,1.0
1995-07-21,29.66781,-82.331041,1.0
1999-02-08,29.656313,-82.329671,1.0
2008-08-14,29.654078,-82.328829,1.0
2000-09-20,29.635618,-82.319352,1.0
2005-08-24,29.63309,-82.321365,8.0
2000-04-04,29.632684,-82.340208,8.0
2000-09-30,29.683821,-82.430106,3.0
2006-09-05,29.646854,-82.3015,19.0
2001-01-01,41.7535,-72.688425,3.0
2002-01-15,41.544597,-73.050046,4.0
2001-01-01,41.535789,-72.05441,2.0
2001-01-01,41.562239,-73.048976,3.0
2002-01-15,41.603472,-72.878447,3.0
2001-01-01,41.741142,-72.687384,6.0
2008-09-30,29.73297,-82.377899,1.0
2008-09-30,29.673778,-82.334408,1.0
2008-09-22,29.676545,-82.261278,1.0
2008-09-22,29.688894,-82.390029,1.0
2009-09-21,29.690772,-82.321999,1.0
2009-09-21,29.675315,-82.259564,1.0
2009-09-21,29.670272,-82.329823,1.0
2017-01-23,29.675973,-82.369854,1.0
1995-08-02,25.830429,-80.270671,29.0
1997-12-19,25.827025,-80.281852,56.0
2002-12-04,25.823925,-80.277181,34.0
2000-11-06,25.824529,-80.277566,1.0
2006-03-15,25.826986,-80.283105,32.0
2008-10-31,25.845087,-80.310157,225.0
2007-06-26,25.823682,-80.279197,18.0
2010-12-31,25.823903,-80.279579,18.0
2010-12-31,25.823925,-80.277181,1.0
2014-03-10,25.829952,-80.275551,1.0
2000-04-25,26.239069,-80.163586,4.0
2009-06-18,26.23708,-80.143922,2.0
2009-06-18,26.239069,-80.163586,2.0
2009-06-18,26.236908,-80.153706,3.0
2011-09-30,26.24294,-80.125488,1.0
2017-04-04,26.239069,-80.163586,1.0
2011-06-15,26.01822,-80.142374,5.0
1994-12-09,25.83124,-80.221866,36.0
2000-07-28,25.786236,-80.196977,8.0
1994-06-30,25.776454,-80.190156,16.0
1995-02-22,25.831224,-80.222312,19.0
1995-06-21,25.767118,-80.228074,12.0
1997-02-26,25.776347,-80.190086,30.0
1995-12-15,25.776295,-80.21368,21.0
2000-07-28,25.774072,-80.190704,80.0
2000-07-31,25.791515,-80.199406,9.0
2000-07-27,25.790425,-80.199075,6.0
2000-07-28,25.826383,-80.193709,8.0
2000-09-07,25.786664,-80.19955,24.0
2001-04-17,25.830439,-80.224057,21.0
2011-08-10,25.778175,-80.134407,47.0
2003-04-09,25.765557,-80.231409,98.0
2005-09-30,25.775249,-80.216204,11.0
2003-04-15,25.776049,-80.188953,42.0
2015-11-25,25.828626,-80.272237,6.0
2018-03-22,25.851567,-80.275649,36.0
2018-03-22,25.851567,-80.275649,35.0
2021-09-22,25.843234,-80.291732,83.0
2014-04-17,26.040762,-80.155791,190.0
2014-04-16,25.998333,-80.198971,24.0
2013-08-19,25.804863,-80.126752,34.0
2014-03-11,25.772697,-80.138068,30.0
2017-07-03,25.779993,-80.133783,1.0
2023-01-26,25.775327,-80.136249,34.0
2013-03-12,25.789805,-80.136709,35.0
2013-03-04,25.796687,-80.131907,27.0
2017-04-27,25.775327,-80.136249,34.0
2023-01-26,25.79559,-80.131611,66.0
2023-01-26,25.870222,-80.122645,70.0
2018-03-07,25.796357,-80.131896,18.0
2018-03-07,25.870222,-80.122645,70.0
2021-05-10,25.792398,-80.134221,129.0
2012-10-30,25.889883,-80.191135,14.0
2011-10-21,25.902824,-80.174821,14.0
2014-03-06,25.899328,-80.162335,2.0
2000-06-13,28.54322,-81.386334,8.0
2000-07-28,28.532403,-81.362587,36.0
2000-06-22,28.543423,-81.350599,16.0
1999-09-07,28.552521,-81.415788,75.0
1999-09-07,28.533989,-81.394924,12.0
2000-06-27,28.534574,-81.389874,27.0
2003-03-27,28.510121,-81.412953,93.0
2001-10-04,28.531568,-81.415161,78.0
2003-09-24,28.502233,-81.396622,116.0
2006-07-18,28.540342,-81.386836,54.0
2003-03-27,28.536211,-81.393352,2.0
2006-08-18,28.544945,-81.388199,39.0
2008-03-27,28.502233,-81.396622,25.0
2007-10-25,28.524566,-81.315444,40.0
2008-01-31,28.529116,-81.414619,12.0
2010-01-27,28.532024,-81.414594,38.0
2012-09-20,28.530831,-81.454298,240.0
2014-09-30,28.539682,-81.369798,3.0
2013-11-27,28.544945,-81.388199,12.0
2014-07-02,28.526496,-81.405256,21.0
2015-07-17,28.527962,-81.444535,155.0
2017-06-12,28.534574,-81.389874,27.0
2021-05-13,28.532223,-81.409677,7.0
2022-03-21,28.550967,-81.38969,8.0
2022-03-21,28.544794,-81.389262,8.0
2008-04-25,25.791113,-80.221298,1.0
2005-09-30,25.799111,-80.211038,11.0
2005-09-30,25.795129,-80.215449,20.0
2008-02-29,25.810005,-80.204054,11.0
2009-07-13,25.808144,-80.235462,11.0
2011-04-06,25.772438,-80.212007,90.0
2009-12-21,25.79332,-80.201177,70.0
2012-11-07,25.781652,-80.206901,10.0
2011-06-27,25.847423,-80.192041,11.0
2010-11-02,25.773533,-80.191415,100.0
2008-12-04,25.847679,-80.194125,11.0
2011-01-27,25.824999,-80.212215,11.0
2009-02-11,25.847893,-80.208945,11.0
2013-03-25,25.83047,-80.223095,6.0
2010-03-16,25.798803,-80.21728,11.0
2011-06-03,25.778401,-80.282684,109.0
2010-11-12,25.808475,-80.255372,11.0
2010-11-23,25.772261,-80.217923,76.0
2012-08-29,25.834517,-80.274664,11.0
2013-07-08,25.831251,-80.221488,11.0
2013-11-20,25.777211,-80.21523,10.0
2020-04-08,25.779862,-80.231509,18.0
2015-05-22,25.769482,-80.207748,27.0
2014-03-26,25.791842,-80.222084,6.0
2016-11-01,25.763903,-80.298103,9.0
2016-03-09,25.781725,-80.199493,10.0
2016-08-17,25.807347,-80.223972,11.0
2016-07-26,25.82698,-80.207362,120.0
2017-05-11,25.771461,-80.187043,34.0
2017-01-25,25.844716,-80.197943,12.0
2018-11-20,25.837379,-80.208923,80.0
2018-11-06,25.732043,-80.25282,37.0
2018-05-21,25.762948,-80.241378,20.0
2018-04-05,25.789533,-80.217445,11.0
2019-10-10,25.846222,-80.194711,6.0
2019-10-10,25.782776,-80.230256,11.0
2020-06-24,25.76341,-80.242718,82.0
2020-06-16,25.829728,-80.208555,11.0
2020-01-07,25.780773,-80.217597,40.0
2019-08-06,25.772848,-80.209433,11.0
1995-03-10,25.791496,-80.143479,1.0
1995-03-10,25.783459,-80.142044,1.0
1998-01-14,25.772053,-80.134833,17.0
1995-08-09,25.777522,-80.136324,1.0
1995-08-29,25.856513,-80.131835,1.0
1999-07-27,27.736953,-82.683579,108.0
2000-12-01,27.765267,-82.656626,18.0
2001-05-29,27.771694,-82.681513,12.0
2000-12-06,27.719588,-82.661297,9.0
2001-10-03,27.765154,-82.676746,10.0
2001-10-24,27.772685,-82.649651,230.0
2002-01-24,27.774068,-82.648896,3.0
2003-12-23,27.773755,-82.712451,66.0
2001-12-05,27.815608,-82.63724,3.0
2002-05-28,27.781,-82.650074,8.0
2002-07-10,27.78511,-82.646477,8.0
2003-08-22,27.778911,-82.686263,2.0
2004-07-28,27.771735,-82.670728,1.0
2007-08-01,27.765465,-82.675502,22.0
2010-08-27,27.846827,-82.649565,1.0
2010-08-27,27.847691,-82.645201,1.0
2010-09-30,27.84464,-82.646979,1.0
2010-10-01,27.83043,-82.634776,1.0
2010-08-27,27.719755,-82.661281,1.0
2008-05-19,27.737212,-82.687404,4.0
2010-08-27,27.800653,-82.682826,1.0
2023-02-15,25.844066,-80.215575,4.0
2023-03-23,25.802816,-80.324927,8.0
1995-01-01,28.592348,-81.210843,20.0
1995-01-01,28.592348,-81.210843,20.0
2001-06-14,28.600171,-81.317148,32.0
1999-08-23,28.550731,-81.414554,20.0
2008-12-01,28.600171,-81.317148,33.0
2003-11-13,28.502233,-81.396622,117.0
2003-08-23,28.663463,-81.512639,19.0
2003-10-21,28.588899,-81.452091,69.0
2012-08-14,26.731674,-80.059543,3.0
2015-03-24,26.721803,-80.074018,1.0
2020-04-14,26.721001,-80.10736,4.0
2021-10-27,26.738158,-80.052335,8.0
1997-02-03,28.625281,-80.828414,48.0
1996-12-19,28.378466,-80.754085,4.0
2003-05-09,28.038775,-80.609723,23.0
2008-08-11,28.038855,-80.609721,24.0
2002-11-16,28.575878,-80.837887,6.0
2007-08-17,28.038908,-80.60972,1.0
2003-08-15,28.104378,-80.623629,1.0
2003-02-01,28.038908,-80.60972,1.0
2008-09-23,28.559992,-80.800831,2.0
2012-11-13,30.447839,-84.286527,1.0
2014-08-14,30.418246,-84.295758,1.0
2018-12-20,30.448166,-84.286994,2.0
2007-03-20,27.959681,-82.456832,10.0
2006-08-16,27.988957,-82.421001,1.0
2005-09-01,27.977131,-82.432252,1.0
2005-09-01,27.977131,-82.432252,1.0
2005-09-01,27.986482,-82.416882,1.0
2007-03-20,27.970717,-82.445164,8.0
2008-08-11,27.989722,-82.491006,25.0
2010-03-02,27.987926,-82.461272,3.0
2012-06-20,27.971566,-82.43417,1.0
2012-06-20,27.967576,-82.427932,2.0
2012-06-21,27.972791,-82.427177,1.0
2014-03-05,27.964572,-82.459627,6.0
2014-09-04,27.95445,-82.459337,2.0
2022-06-02,27.957169,-82.468154,5.0
2022-02-02,27.994694,-82.418131,3.0
2022-06-15,27.957169,-82.468154,16.0
2001-05-18,26.740027,-80.056897,4.0
2007-05-04,26.710257,-80.074997,5.0
2016-07-20,26.72464,-80.057517,2.0
